sample_num,plot,treatment,date,depth_cm,richness,shannon_classes,evenness,mean_nosc,mean_hc,mean_oc,mean_nc,mean_ai,mean_dbe,frac_labile,frac_aromatic,frac_lignin,frac_other
125,2,warmed,2023-12-12,30,435,1.54632950080774,0.960788539191977,-0.613614077173571,1.11417845359149,0.203476705986283,0.0258484480253498,0.36531115333152,15.535632183908,0.266666666666667,0.485057471264368,0.248275862068966,0
26,3,control,2017-10-20,10,326,1.3306247415645,0.742635808219153,-0.551874981065233,1.08611240721997,0.23148949141557,0.0185380695988232,0.34349502648951,16.6226993865031,0.141104294478528,0.49079754601227,0.365030674846626,0.00306748466257669
27,3,control,2017-12-06,10,1691,1.21069051917977,0.675699244219073,-0.190244149031229,1.08413655643833,0.411295492713163,0.0146022376445707,0.170648218192842,13.4512123004141,0.0703725606150207,0.224719101123596,0.603193376700177,0.101714961561206
28,3,control,2018-01-17,10,141,1.23109165841006,0.68708533681725,-0.512316265567959,1.09052156966777,0.263838318228226,0.0094213592887893,0.301687246123248,15.3191489361702,0.099290780141844,0.439716312056738,0.453900709219858,0.00709219858156028
29,3,control,2018-01-30,10,635,1.20358773778127,0.671735106442501,-0.459527062042587,1.07930447668647,0.289649201847256,0.00745141630846073,0.276352717608352,15.2393700787401,0.0771653543307087,0.403149606299213,0.496062992125984,0.0236220472440945
30,3,control,2018-02-13,10,60,1.10589359179402,0.687130322487232,-0.533852423324399,1.02072426250802,0.210161190711178,0.0134809343082157,0.386948154066251,16.4166666666667,0.0833333333333333,0.6,0.316666666666667,0
31,3,control,2018-02-27,10,123,1.28857935571678,0.800639369659152,-0.589196694465334,1.00828455986373,0.182138588455439,0.0114111847710982,0.410288730947968,18.1544715447155,0.113821138211382,0.609756097560976,0.276422764227642,0
32,3,control,2018-05-09,10,210,1.28717541566651,0.799767052659895,-0.583173129961382,1.02485706534501,0.184420796644248,0.017655489091022,0.405421237518041,18.3,0.133333333333333,0.614285714285714,0.252380952380952,0
33,3,control,2018-05-22,10,53,1.51317994528063,0.940191562277857,-0.626206225208024,1.08263634596625,0.158824848261525,0.0458724515392655,0.427676945445693,15.2830188679245,0.207547169811321,0.509433962264151,0.283018867924528,0
34,3,control,2018-10-23,10,108,1.21048274143498,0.752115214935045,-0.480966864511532,1.14103516466491,0.296589275751935,0.0216013033434675,0.267130056106299,12.6296296296296,0.12962962962963,0.388888888888889,0.481481481481482,0
