sample_num,sample_name_raw,sample_is_extra,sample_date,plot,treatment,treatment_raw,depth,sample_run_n,sample_first_run,sample_last_run,total_peak_area_mean,total_peak_area_sd,formula_detected_n_mean,formula_detected_n_sd,delGcat_wmean,delGcat_wmean_sd,lambda_wmean,lambda_wmean_sd,cue_wmean,cue_wmean_sd,nosc_wmean,nosc_wmean_sd,ne_wmean,h_to_c_wmean,o_to_c_wmean,frac_CHO,frac_CHON,frac_CHOS,frac_CHOP,frac_N_containing,frac_P_containing,frac_S_containing
25,25,FALSE,2022-11-16,2,warmed,Warming treatment,0-10 cm,2,2024-10-09,2024-10-14,12183364809.585,2675855415.13903,388,4.24264068711929,-15075.9373905621,664.806313039935,0.03096964819749,0.000276332125198441,0.575503651285729,0.00106909918398907,-0.824774215149242,0.0121507001999777,131.773801476122,1.21124738806267,0.19188431652521,0.268395648935155,0.0779007876543081,0.421232184070216,0.15224091467332,0.141450912966233,0.198444606554905,0.477772141667481
26,26,FALSE,2017-10-20,3,control,Control treatment,0-10 cm,3,2024-10-08,2024-10-14,16176508919.4159,4347677616.97312,559,40.6324993078201,-13680.0228244883,1175.7438872874,0.0376777034307019,0.00130830548601139,0.565727284482303,0.00300236423098145,-0.729030477162555,0.0301531082594999,119.394917762295,1.20705740070031,0.219464502244872,0.3104192051136,0.135008650400605,0.309850170831143,0.0958679787967429,0.259895160818659,0.181987084484999,0.405412446420104
27,27,FALSE,2017-12-06,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,62603160191.1062,3456975802.96284,2743,349.310749906154,-11640.937283318,988.353735950184,0.0432074488979375,0.00245711741191471,0.521966039733152,0.00458845608926487,-0.286032854860158,0.0461475859895472,100.045477567703,1.17181933210416,0.427759759187914,0.661580371148494,0.0912332573919656,0.188084619045358,0.0264932354643507,0.115792448163933,0.0401884331126946,0.216677490673508
28,28,FALSE,2018-01-17,3,control,Control treatment,0-10 cm,3,2024-10-09,2024-10-24,19861384370.6969,2649691525.56321,284.333333333333,51.597803570824,-12754.5349661464,667.272544976421,0.0340121064197264,0.000614710878960123,0.593212200689914,0.0123723333435138,-1.00008792783516,0.122822885395138,111.875194154042,1.41176236274507,0.21286517158268,0.21058007591445,0.0907399131198235,0.321182404654427,0.253825040600488,0.195360344851773,0.307338730822013,0.411096854166803
29,29,FALSE,2018-01-30,3,control,Control treatment,0-10 cm,3,2024-10-09,2024-10-24,32765454246.464,1767124542.82437,1128.66666666667,15.1767365837763,-13419.0836502757,290.653879268752,0.0362016547843226,0.000423982201622816,0.554721296233821,0.00211222421485664,-0.616385756613694,0.0205946659493384,116.652329424813,1.16859987530042,0.265948686022252,0.444743422126284,0.060366306349298,0.373177615232722,0.0756322991345704,0.0981464185503685,0.0985369426045251,0.406587486569496
30,30,FALSE,2018-02-13,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,11394888718.6543,3769313317.25263,151.5,3.53553390593274,-12113.1214395606,731.330992770812,0.0380950293067096,0.000133328177560228,0.588229424006819,0.00160638128351315,-0.953089207280244,0.0150632517030318,106.279971621999,1.41075651445749,0.215917809186179,0.251714006721761,0.0903979435181947,0.398341226867833,0.165146613058819,0.170611059530919,0.206105717414806,0.467244112400037
31,31,FALSE,2018-02-27,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,9197601804.12475,1582334677.25124,298,16.9705627484771,-14297.0049052058,760.243144897063,0.0345725241668503,0.000136785234405491,0.590077486155727,0.00140326661466834,-0.970241121897996,0.0131342318616252,125.558896673619,1.35599729616128,0.190089325509271,0.202858083189146,0.0790203093419065,0.411463693043979,0.188097868125034,0.184502272250064,0.239510740455897,0.501134910779767
32,32,FALSE,2018-05-09,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,15451229437.0984,1801358167.409,488,32.5269119345812,-13891.7605844447,413.897424829497,0.0334373725156908,0.000174355975019746,0.592910288358928,0.00229488387755388,-0.997029292453821,0.0221806394071157,122.012124403515,1.39499529158883,0.188255384730975,0.126297824503405,0.104938831461284,0.423720283149014,0.204961078090371,0.227796924455039,0.271485854963498,0.526016017179018
33,33,FALSE,2018-05-22,3,control,Control treatment,0-10 cm,3,2024-10-09,2024-10-24,9606885877.59857,655997349.443905,142,8.18535277187245,-11974.4437740672,548.186033223143,0.0385324695093758,0.00142705298122323,0.590449993292468,0.00740210599762643,-0.98474010380878,0.073040214434647,105.319932460233,1.4360208541563,0.210925923285657,0.220417462923001,0.288183515066094,0.193014849581873,0.19422570244021,0.38229864256137,0.246973268079079,0.27525842458518
34,34,FALSE,2018-10-23,3,control,Control treatment,0-10 cm,3,2024-10-09,2024-10-24,14817542406.7468,2689011925.7404,194.333333333333,33.0807093837683,-12294.4383622707,142.256943856173,0.0363597378263452,0.000431934398378053,0.569890303114441,0.012596772133544,-0.773475040097301,0.124493831848734,107.208842160009,1.28003799652046,0.233631671778456,0.292004185219706,0.227083970143893,0.21054116961293,0.143154631929767,0.3230131894648,0.220847868477695,0.291350799931502
35,35,FALSE,2018-11-07,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,9708002051.56999,586022020.653298,60,2.82842712474619,-11614.7095379468,457.718319452342,0.0343678987225273,0.000287022145217399,0.608340501570876,0.00468862717442251,-1.15931064840088,0.0469961369290319,102.495825814731,1.57938638098527,0.206843420525631,0.200299045261576,0.174544967684024,0.181359869629451,0.276908523623818,0.304873318313817,0.387205866155285,0.277364122768986
36,36,FALSE,2019-11-05,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,7837670699.30883,588400567.30277,162.5,24.7487373415292,-14275.7514996515,972.932749019437,0.0291004222157324,2.68639208938553e-05,0.625039071798589,0.0121037828107173,-1.31400845015885,0.121514134929915,126.148368912529,1.5656637497592,0.16671156773752,0.049852595089462,0.0757559991984193,0.303753365564511,0.42908885357766,0.193929088892393,0.482236817939621,0.42609250636944
37,37,FALSE,2019-12-17,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,9407977703.20454,2243595615.40098,596.5,74.2462120245875,-18148.6595271445,2560.34754553764,0.0284221670221884,0.00202236276188538,0.592178099160952,0.00387354946196681,-0.989296434881053,0.0374606309653003,159.466960740918,1.32523340463313,0.170216642066799,0.130830679011444,0.080715068012695,0.404652844044723,0.198494278751789,0.23978596092719,0.272456984107664,0.559375196777288
38,38,FALSE,2019-12-31,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,14066289414.5528,684975246.184683,515,22.6274169979695,-15456.4461939809,693.950798228417,0.0305427415500184,0.000532629284571337,0.585179090405434,0.003441705657292,-0.917481449922955,0.034220156496037,135.200358356072,1.24262960739382,0.167383648662195,0.139200193081553,0.110290381019059,0.349407027712088,0.221931142772354,0.244992755875623,0.299927241965948,0.503174944776388
39,39,FALSE,2020-01-28,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,11929488456.7084,1652646489.29807,391,38.1837661840736,-13794.6891031077,1282.96883624234,0.0346223132919352,0.000834831871991406,0.600285740108268,0.00499981211638908,-1.06733572889366,0.0491120957680084,121.348359844598,1.42644407133704,0.192757008785115,0.14498576792005,0.0763143709577692,0.343670282808056,0.259605961352557,0.214741871926557,0.351669169069261,0.474445963266544
40,40,FALSE,2020-03-10,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,8222528719.07481,302666704.444584,446,36.7695526217005,-16836.5922907539,473.730485148793,0.0287905577215782,0.000160229586066593,0.597803679183357,0.00528195287691809,-1.04496628975163,0.0518684106548221,148.042478019469,1.33697194069106,0.156564607434797,0.0983482244486588,0.105161645416149,0.369051125058706,0.25558337482873,0.245115369696897,0.326719726530311,0.511784656797642
41,41,FALSE,2021-12-15,3,control,Control treatment,0-10 cm,3,2024-10-08,2024-10-14,6773733162.22577,1601459886.60695,374.333333333333,137.292874299191,-18217.0065228742,3037.14338765036,0.0277151183268187,0.00246541219243706,0.606134660725233,0.0108315972727319,-1.12661905264278,0.1063389479517,160.647334788321,1.4302574697792,0.164883614573192,0.0785942511025175,0.0916568404512389,0.315241087199923,0.283971359617433,0.283197230572285,0.376058754503999,0.516130672498084
42,42,FALSE,2022-09-08,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,10035127739.3258,536383593.096319,297.5,20.5060966544099,-12957.1435908493,741.422294235181,0.0381250697451892,0.000604100584734848,0.594017256014828,0.00718619522092671,-1.01022271890412,0.0720245037643355,113.752706521759,1.40799469619457,0.212393865010254,0.275311055191367,0.0968947844750841,0.271995163653764,0.221339955292149,0.19298183648592,0.29815573155425,0.378053057957354
43,43,FALSE,2022-11-16,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,8256594711.75624,629052532.867791,623.5,197.282791951047,-20903.7112792853,3184.18643890369,0.0247987794638701,0.00286379430738893,0.580907255985676,0.00604058255860427,-0.87564154256939,0.0573640145755607,182.961058296067,1.21015289839864,0.164884249192971,0.0948979251119528,0.14122227831019,0.267053181994084,0.203913011569585,0.387676095709318,0.309103854012128,0.533001778875701
44,44,FALSE,2023-05-30,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,16481951007.9446,2661866588.83192,410,12.7279220613579,-16353.8813129515,231.228668681099,0.0278123981158466,0.000128505772814019,0.59027410533056,0.0042098417896732,-0.98000158384851,0.0425332623015057,144.025573698841,1.29076972962608,0.132343395874701,0.0969494452699637,0.192634012322885,0.45337899511274,0.147854317447318,0.280490288212687,0.194467208693588,0.543646343852647
45,45,FALSE,2023-12-27,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,8032497947.29659,1346780157.32772,297,73.5391052434009,-16680.0920342732,3032.60081290376,0.0284062872603606,0.00230177801648556,0.603165611672357,0.0123661135452912,-1.09615828674203,0.12153425252154,146.590652705782,1.39332195514781,0.165056509092157,0.0605689418570844,0.126241597528311,0.264367167715683,0.321017264494167,0.305903183463129,0.394690464210972,0.475709234380612
46,46,FALSE,2024-04-16,3,control,Control treatment,0-10 cm,3,2024-10-09,2024-10-24,13694220820.1118,3161798746.16909,420.666666666667,47.056703383613,-16321.210183175,193.768188061549,0.0273499813625145,0.000435008451847141,0.597834207557168,0.011193041563463,-1.04999289493926,0.111480162106322,143.715176768559,1.31264348274232,0.130984820619272,0.0904330117934815,0.141028506004937,0.416388184073294,0.219433368936279,0.243428839239279,0.27540814412025,0.528084241388005
47,47 (EXTRA),TRUE,2024-04-30,3,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,20398687059.3851,497934631.164654,600,2.82842712474619,-15150.6429286885,88.1236550709961,0.0307699881225481,0.00011616219797891,0.572996626944012,0.000180943021630013,-0.808527904593544,0.00210709334157466,132.453406252075,1.14627506176795,0.135022035898877,0.0633365697443234,0.303582099874471,0.403606365327153,0.146006765041669,0.365339096422168,0.180449330791446,0.480366412075706
48,48,FALSE,2017-10-20,4,warmed,warming treatment,0-10 cm,2,2024-10-09,2024-10-14,76223049945.0917,3159870117.85188,1490.5,17.6776695296637,-12935.42037683,74.7730305019403,0.0371678640548326,0.00028586883203445,0.542413868664079,0.000146162855053714,-0.491667304858055,0.00108569317732329,111.938568418891,1.16853740827536,0.331755681653446,0.573155803398785,0.0314652676151746,0.321386783012362,0.0495861134890099,0.0488958372088366,0.0645059322467929,0.338875777617565
49,49,FALSE,2017-12-06,4,warmed,warming treatment,0-10 cm,2,2024-10-09,2024-10-14,104027611973.134,3083100468.64305,2333.5,37.476659402887,-11726.8323411145,491.199410422732,0.0413359083268725,0.00119536622311584,0.525298662008608,0.00267353896370867,-0.319622425812327,0.0269248512077065,100.835891332936,1.19384889178763,0.424152999499227,0.697694834483782,0.0623873553091807,0.20556619307967,0.0195905037407155,0.0703845112182958,0.0284702360672957,0.218638989015566
50,50,FALSE,2018-01-17,4,warmed,warming treatment,0-10 cm,2,2024-10-09,2024-10-14,83059942216.066,4718425012.19948,1790.5,48.7903679018718,-12643.4493919914,17.4958603241392,0.0385063960931446,4.21822447894479e-05,0.533240347158672,0.000382466675535697,-0.399762830834294,0.00384805504392633,109.079496427627,1.12758754538747,0.349096027851577,0.58969111163833,0.0466827657484358,0.328893158081033,0.0187708051081692,0.0583229958149651,0.0246630923185484,0.343761139460249
51,51,FALSE,2018-01-30,4,warmed,warming treatment,0-10 cm,2,2024-10-09,2024-10-14,97364009061.3555,3334766978.34845,2403,60.8111831820431,-11454.1251952318,323.489819635249,0.042738309255992,0.000628700980428115,0.52965717939402,0.00108245518364698,-0.365482263078178,0.0111610579502459,98.7359965171285,1.23874336371956,0.422876456015844,0.738079910530467,0.0602353443047058,0.169717724689365,0.0106612200362181,0.0712120145748355,0.0237538220554026,0.189331303955394
52,52,FALSE,2018-02-13,4,warmed,warming treatment,0-10 cm,2,2024-10-09,2024-10-14,83711515488.2296,7658264727.13541,2390.5,19.0918830920368,-12762.8068756889,267.075109782436,0.039027544864835,0.000700970430891839,0.534159024714743,0.00166902782126046,-0.409845404862114,0.0167123591871322,110.25793962989,1.16160216509404,0.362802473872568,0.627151648425477,0.0429049512260872,0.294282429763908,0.0179474643372675,0.0561323325444929,0.0251549898841102,0.31059721639934
