response,anchor,model,n,rmse,mae,scaled_mae,r2
lambda_wmean,linear90,nearest45,49,0.00356690099114403,0.00279904027720625,0.674009331781532,0.246903767668447
lambda_wmean,linear90,global_mean,49,0.00433539680616318,0.00339843971460916,0.818344809039258,-0.112566739730286
lambda_wmean,linear90,depth_mean,49,0.00394883616064499,0.00317115299737619,0.763614132366781,0.076989597019565
lambda_wmean,linear90,trt_depth_mean,49,0.00396787757789728,0.0033136109530674,0.797918030136424,0.0680665624164884
lambda_wmean,linear90,plot_depth_mean,49,0.0033451632261309,0.00251537746588024,0.605703282929694,0.337626431990668
lambda_wmean,linear90,calendar,49,0.00433298096588236,0.0035538363781682,0.855764349665177,-0.111327160148597
lambda_wmean,linear90,structure_calendar,49,0.00375781406078098,0.00312461379346932,0.752407484866081,0.164129611749771
lambda_wmean,linear90,structure_calendar_climate,49,0.00372790683538818,0.00313490236739974,0.754884975060238,0.177381510837407
lambda_wmean,linear90,structure_calendar_climate_bgc,49,0.00402257545805886,0.00323752315568926,0.779596076756478,0.0421957382326349
richness,linear90,linear90,48,378.819191826709,245.935767691472,0.365312357742944,0.676635259202708
richness,linear90,nearest45,48,454.202552099097,287.375,0.426866086994222,0.535133920967131
richness,linear90,global_mean,48,673.241834852128,479.987080327085,0.712971576466304,-0.0213413304724321
richness,linear90,depth_mean,48,602.211429011523,384.321124439446,0.570869611269894,0.182803112498081
richness,linear90,trt_depth_mean,48,552.995704110863,331.261683914463,0.492055254575671,0.310915895361864
richness,linear90,plot_depth_mean,48,527.412100574978,280.787819669169,0.417081506247299,0.373200131988209
richness,linear90,calendar,48,800.865995690496,597.912001520012,0.888136951564091,-0.445268127290049
richness,linear90,structure_calendar,48,573.963136018686,352.588789946861,0.5237344831062,0.257670505309886
richness,linear90,structure_calendar_climate,48,606.19530391087,402.976035129099,0.598579567700756,0.171955165724018
richness,linear90,structure_calendar_climate_bgc,48,646.88836504164,426.528044069164,0.633563661296575,0.0570527530997906
shannon_classes,linear90,linear90,48,0.1223502499138,0.0941752384500909,0.592687576980298,0.394476095508467
shannon_classes,linear90,nearest45,48,0.132026579936112,0.0987386315498433,0.621407083759505,0.294910385797676
shannon_classes,linear90,global_mean,48,0.161374196436231,0.1296869400771,0.816178854922891,-0.0533913710453555
shannon_classes,linear90,depth_mean,48,0.146499322418539,0.119878920456458,0.75445252983358,0.131853930986495
shannon_classes,linear90,trt_depth_mean,48,0.129052965247562,0.103858341718073,0.653627746689471,0.326313962291063
shannon_classes,linear90,plot_depth_mean,48,0.128656202962147,0.0981775165640762,0.617875732134652,0.33044997460851
shannon_classes,linear90,calendar,48,0.175711856110734,0.137379468118232,0.864591430039094,-0.248888607186526
shannon_classes,linear90,structure_calendar,48,0.123761570528556,0.0989912799975312,0.62299711526622,0.380425985357182
shannon_classes,linear90,structure_calendar_climate,48,0.151783749739435,0.118642541128406,0.746671432803923,0.0680939604453532
shannon_classes,linear90,structure_calendar_climate_bgc,48,0.15615760858856,0.123413775440981,0.776698978796531,0.013611795617286
evenness,linear90,linear90,48,0.0748266954465109,0.0534921320065015,0.436249970011141,0.619681443239756
evenness,linear90,nearest45,48,0.0813051392374635,0.0587271750041983,0.478943862834009,0.550975146235374
evenness,linear90,global_mean,48,0.122629982721684,0.102941678677868,0.839531021696016,-0.0214749446314357
evenness,linear90,depth_mean,48,0.0995788376273747,0.0840104123845006,0.685138888816538,0.32645209552373
evenness,linear90,trt_depth_mean,48,0.0901942649967844,0.0718970800077797,0.586349764362923,0.447423728211913
evenness,linear90,plot_depth_mean,48,0.0765544545382746,0.0591478991487106,0.482375038383418,0.60191545495566
evenness,linear90,calendar,48,0.148743055451432,0.117997748536111,0.962319360424893,-0.502822820310174
evenness,linear90,structure_calendar,48,0.0944062082498355,0.0732471568591236,0.597360187089015,0.394609649819922
evenness,linear90,structure_calendar_climate,48,0.113919046728934,0.0870250188736179,0.709724223914285,0.118490354741824
evenness,linear90,structure_calendar_climate_bgc,48,0.114697925668016,0.0867511331581457,0.707490575138674,0.106395161426423
frac_labile,linear90,linear90,48,0.0636144026738256,0.0436407423619109,0.459045499563324,0.542720749522582
frac_labile,linear90,nearest45,48,0.0743727996627824,0.0492802552174937,0.518366053155563,0.374972899193101
frac_labile,linear90,global_mean,48,0.0948776474896064,0.0730774298301604,0.768682278706337,-0.0171813845207565
frac_labile,linear90,depth_mean,48,0.0857223313160771,0.0617383392383226,0.649409364827883,0.16965507547383
frac_labile,linear90,trt_depth_mean,48,0.0775730771778024,0.0532211491070591,0.559819280262912,0.320025499111594
frac_labile,linear90,plot_depth_mean,48,0.0729363569024206,0.0532648292938886,0.560278740668464,0.398883399079221
frac_labile,linear90,calendar,48,0.109705195981606,0.0796511094521991,0.837829087004028,-0.359956394068746
frac_labile,linear90,structure_calendar,48,0.0798954335071452,0.051653826053988,0.543333020980071,0.2787023734133
frac_labile,linear90,structure_calendar_climate,48,0.0874696963722088,0.0578455143436922,0.608461762845112,0.13545853823674
frac_labile,linear90,structure_calendar_climate_bgc,48,0.0989780029422963,0.0639520885090727,0.672695211605466,-0.10700086915313
frac_aromatic,linear90,linear90,48,0.115860393171903,0.0845190462152545,0.525293343627875,0.470448752390288
