scope,metric,metric_label,metric_order,n_short_pairs,n_long_pairs,short_scaled_semivar,long_scaled_semivar,short_rho_hat,long_rho_hat,long_minus_short_semivar,permutation_p_short_more_similar,depth_label,treatment_label
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,51,393,1.27790650653006,0.96152757097178,-0.277906506530062,0.0384724290282205,-0.316378935558282,0.764235764235764,0-10 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,49,383,0.630501801714799,1.07638306215457,0.369498198285201,-0.0763830621545663,0.445881260439768,0.0639360639360639,0-10 cm,Warmed
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,38,299,0.228757045767732,1.16443971026715,0.771242954232268,-0.16443971026715,0.935682664499418,0.000999000999000999,10-30 cm,Control
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,32,249,0.567664726262755,1.11246582351062,0.432335273737245,-0.11246582351062,0.544801097247865,0.014985014985015,10-30 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,51,393,0.722899810380116,1.04907195472445,0.277100189619884,-0.0490719547244525,0.326172144344337,0.0859140859140859,0-10 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,49,383,0.490423476455602,1.1233450301658,0.509576523544398,-0.123345030165798,0.632921553710196,0.001998001998002,0-10 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,38,299,1.27869454148597,0.967543975554052,-0.278694541485971,0.032456024445948,-0.311150565931919,0.9000999000999,10-30 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,32,249,1.10224613135594,1.01267570067213,-0.102246131355938,-0.0126757006721332,-0.0895704306838043,0.632367632367632,10-30 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,51,393,0.597422532674662,1.08104426896652,0.402577467325338,-0.0810442689665201,0.483621736291858,0.122877122877123,0-10 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,49,383,0.653442123883214,1.07118114295878,0.346557876116786,-0.0711811429587848,0.417739019075571,0.044955044955045,0-10 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,38,299,1.13009320513096,0.997418588761812,-0.130093205130956,0.00258141123818811,-0.132674616369144,0.58041958041958,10-30 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,32,249,1.03458137485779,1.01498189883654,-0.034581374857789,-0.0149818988365356,-0.0195994760212534,0.531468531468532,10-30 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,51,393,0.599460844029406,1.05337052100321,0.400539155970594,-0.0533705210032078,0.453909676973802,0.031968031968032,0-10 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,49,383,0.368995327059242,1.15002023654071,0.631004672940758,-0.150020236540714,0.781024909481471,0.000999000999000999,0-10 cm,Warmed
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,38,299,1.49669330645197,0.977589751919302,-0.496693306451967,0.0224102480806978,-0.519103554532665,0.902097902097902,10-30 cm,Control
by_treatment_depth,mean_oc,"Mean O/C
(formula-count mean)",4,32,249,0.699459745534149,1.10123896541913,0.300540254465851,-0.101238965419134,0.401779219884985,0.0919080919080919,10-30 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,51,393,0.625626040594034,1.0396836831095,0.374373959405966,-0.0396836831095018,0.414057642515468,0.03996003996004,0-10 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,49,383,0.330662943348807,1.15384727971875,0.669337056651193,-0.153847279718747,0.82318433636994,0.000999000999000999,0-10 cm,Warmed
