sample_num,sample_col,total_peak_area,formula_detected_n,delGcat_wmean,lambda_wmean,cue_wmean,nosc_wmean,ne_wmean,h_to_c_wmean,o_to_c_wmean,frac_CHO,frac_CHON,frac_CHOS,frac_CHOP,frac_N_containing,frac_P_containing,frac_S_containing,technical_rep,run_date_chr,run_date,tray_position,sample_name_raw,sample_is_extra,sample_date,depth,treatment_raw,plot,treatment
9,Sihi_60398_009_r2_Fir_14Oct24_300SA_p06_9_1_6460,46980916438.8285,1017,-11876.4112146009,0.04074938434632,0.525464373954134,-0.324105452944782,102.242508725174,1.17863964444092,0.414839717672971,0.760865629438684,0.0488753519063843,0.157854756655208,0,0.0652522675767619,0.0175897938279981,0.189248511386315,2,14Oct24,2024-10-14,9,9,FALSE,2020-01-28,0-10 cm,Control treatment,1,control
9,Sihi_60398_009_r2_Fir_24Oct24_300SA_p06_9_1_6550,47413369933.5314,1113,-12434.7260072901,0.0395621621310529,0.527752576596164,-0.347337436243956,107.210100646053,1.14347307339086,0.382798947690439,0.708812961833373,0.0494659839375013,0.211497233594633,0,0.0707384174992375,0.0107348605847516,0.240524150830867,2,24Oct24,2024-10-24,9,9,FALSE,2020-01-28,0-10 cm,Control treatment,1,control
10,Sihi_60398_010_r1_Fir_09Oct24_300SA_p06_10_1_6129,22509022931.0207,530,-14115.7755966986,0.034770019271728,0.547583392630197,-0.548572392519381,122.60422108711,1.07296550584336,0.23075004883022,0.398524377294077,0.109725692251643,0.472952374658724,0,0.115970485230238,0.0135458050535092,0.49174993045428,1,09Oct24,2024-10-09,10,10,FALSE,2021-12-15,0-10 cm,Control treatment,1,control
10,Sihi_60398_010_r2_Fir_14Oct24_300SA_p06_10_1_6393,18546845482.1787,535,-14169.9538019347,0.0352591868164752,0.545690354747548,-0.530602059359911,122.975852442486,1.06905237814112,0.23262565209155,0.374470832887369,0.148749124983991,0.427952225407607,0,0.183369535295017,0.0179826880972724,0.473968569720764,2,14Oct24,2024-10-14,10,10,FALSE,2021-12-15,0-10 cm,Control treatment,1,control
11,Sihi_60398_011_r1_Fir_09Oct24_300SA_p06_11_1_6211,14448486188.628,593,-15385.3906497758,0.0330435265534413,0.545913668576279,-0.530270777065778,133.469029298352,1.01298884014731,0.210982312123909,0.402091508001637,0.0923811208479937,0.44568881548386,0,0.146696031678377,0.0220520056790567,0.499870271511184,1,09Oct24,2024-10-09,11,11,FALSE,2022-08-23,0-10 cm,Control treatment,1,control
11,Sihi_60398_011_r2_Fir_14Oct24_300SA_p06_11_1_6330,13814857188.9558,620,-15614.5936001762,0.0334972285699904,0.545848947886099,-0.531762603154763,135.693392194153,1.03561777214479,0.218035154097463,0.388992715462157,0.125245551182813,0.405525319021968,0,0.197984871140563,0.0205923763340838,0.47752418640652,2,14Oct24,2024-10-14,11,11,FALSE,2022-08-23,0-10 cm,Control treatment,1,control
12,Sihi_60398_012_r1_Fir_09Oct24_300SA_p06_12_1_6213,32467920306.2878,513,-13556.2992973229,0.0356426516685069,0.543895574253263,-0.509257613446889,117.450166429642,1.10655998144796,0.274308066766823,0.50317807479846,0.0641811942911109,0.389901823159083,0,0.0939189806553033,0.0193809960021946,0.430052221671689,1,09Oct24,2024-10-09,12,12,FALSE,2022-09-08,0-10 cm,Control treatment,1,control
12,Sihi_60398_012_r2_Fir_14Oct24_300SA_p06_12_1_6305,32628382958.6683,545,-13733.4010273129,0.0354180351626736,0.542570930325694,-0.496017441290956,118.910448501253,1.09684179912616,0.274745118115215,0.49848812184113,0.0724157959219593,0.368106382902965,0,0.119648483199497,0.0212084488029113,0.425350782694556,2,14Oct24,2024-10-14,12,12,FALSE,2022-09-08,0-10 cm,Control treatment,1,control
13,Sihi_60398_013_r1_Fir_09Oct24_300SA_p06_13_1_6175,19879408900.2182,923,-14832.9637685728,0.0341782310159106,0.543369924807262,-0.504384213397385,128.717225898741,1.04768949250063,0.248364953455067,0.498731758294821,0.0609877210172807,0.391403261679216,0,0.104769080535577,0.0176160364383808,0.431505635865156,1,09Oct24,2024-10-09,13,13,FALSE,2022-11-16,0-10 cm,Control treatment,1,control
13,Sihi_60398_013_r2_Fir_14Oct24_300SA_p06_13_1_6458,25631076997.3326,1119,-14930.6164238619,0.0339726003562994,0.540687519454215,-0.47908729189187,129.38399023386,1.05241191281349,0.255001926479871,0.447579901362672,0.134638800035241,0.335198874810095,0.00107576431831136,0.201711519467851,0.0273853099811872,0.409050696192619,2,14Oct24,2024-10-14,13,13,FALSE,2022-11-16,0-10 cm,Control treatment,1,control
13,Sihi_60398_013_r2_Fir_24Oct24_300SA_p06_13_1_6548,23027409300.0975,1230,-15600.4766927082,0.0333206615673357,0.541783133984163,-0.490039386988017,135.387798478381,1.04510863743637,0.24436365106644,0.420012388977581,0.131858325973039,0.35574884013748,0.000568383413892256,0.214518823555338,0.0215901592065826,0.44182608458164,2,24Oct24,2024-10-24,13,13,FALSE,2022-11-16,0-10 cm,Control treatment,1,control
