scope,metric,metric_label,metric_order,lag_bin,n_pairs,median_lag_days,mean_scaled_semivar,rho_hat,median_abs_raw_change,depth_label,treatment_label
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,91-180 d,72,135,0.700000157031359,0.299999842968641,0.0273476737153201,0-10 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,181-365 d,133,267,0.993143535515931,0.00685646448406918,0.0264210055573459,0-10 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,>365 d,643,954,1.09335098792137,-0.0933509879213659,0.03869582297563,0-10 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,00-45 d,30,28,1.14483588004223,-0.144835880042234,0.03804100261234,10-30 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,46-90 d,40,70,1.04262673472896,-0.0426267347289637,0.0495379513255509,10-30 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,91-180 d,66,138,0.863503081204474,0.136496918795526,0.0563407388282854,10-30 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,181-365 d,121,267,0.785311026008869,0.214688973991131,0.04766712771953,10-30 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,>365 d,427,911,1.06776584707964,-0.0677658470796392,0.0538786668345039,10-30 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,00-45 d,55,27,0.417728463154477,0.582271536845523,0.020487732488771,0-10 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,46-90 d,45,70,0.570626857731252,0.429373142268748,0.024851827576531,0-10 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,91-180 d,72,135,0.623810563600604,0.376189436399396,0.0261834948773665,0-10 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,181-365 d,133,267,0.570967287970348,0.429032712029652,0.027174982520504,0-10 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,>365 d,643,954,1.21072117581539,-0.210721175815393,0.053343427998873,0-10 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,00-45 d,30,28,1.06411037021648,-0.0641103702164776,0.0190429893634825,10-30 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,46-90 d,40,70,1.18334365989433,-0.18334365989433,0.0189307192408145,10-30 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,91-180 d,66,138,0.579319761886316,0.420680238113684,0.026583409644626,10-30 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,181-365 d,121,267,0.809491445603944,0.190508554396056,0.023025647399454,10-30 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,>365 d,427,911,1.09732874308,-0.0973287430799963,0.031447259611182,10-30 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,00-45 d,55,27,0.415135216062842,0.584864783937158,0.029627243499457,0-10 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,46-90 d,45,70,0.561710564687355,0.438289435312645,0.039774604519569,0-10 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,91-180 d,72,135,0.68571377932359,0.31428622067641,0.037670088536453,0-10 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,181-365 d,133,267,0.652238290892261,0.347761709107739,0.031979931380353,0-10 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,>365 d,643,954,1.18782504339913,-0.187825043399134,0.060392113928889,0-10 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,00-45 d,30,28,1.0925424559696,-0.0925424559696038,0.037339071211503,10-30 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,46-90 d,40,70,0.882675185723587,0.117324814276413,0.0305110408257185,10-30 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,91-180 d,66,138,0.487400006760969,0.512599993239031,0.0294030280151275,10-30 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,181-365 d,121,267,0.794381258781404,0.205618741218596,0.031979211634726,10-30 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,>365 d,427,911,1.14198638438687,-0.141986384386873,0.046257838525453,10-30 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,00-45 d,55,27,0.447109947092802,0.552890052907199,4.79966989773629,0-10 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,46-90 d,45,70,0.570682877720948,0.429317122279052,6.0249114141522,0-10 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,91-180 d,72,135,0.646217377705419,0.353782622294581,4.76992840711525,0-10 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,181-365 d,133,267,0.618285373282905,0.381714626717095,5.13843470678,0-10 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,>365 d,643,954,1.19590764785542,-0.195907647855422,8.54118467340661,0-10 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,00-45 d,30,28,0.435664546158037,0.564335453841963,5.71226673588875,10-30 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,46-90 d,40,70,0.618535280384425,0.381464719615575,4.9152377988903,10-30 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,91-180 d,66,138,0.486541340102644,0.513458659897356,4.8759054233376,10-30 cm,
